"player_name","team","season","pa","ops","woba","iso","scout_grade","signing_probability","signed_by_mlb_org"
"J Cunningham","Ogden Raptors",2021,4,1.83333333333333,0.69775,1,74.1582170069501,0.298781553753671,0
"D Day","Glacier Range Riders",2022,6,2.23333333333333,0.909166666666667,0.6,78.7375716170188,0.109281983033833,0
"Z Stewart","Missoula PaddleHeads",2026,36,1.71581196581197,0.679916666666667,0.576923076923077,80,0.0875257316081797,0
"J Ochoa","Colorado Springs Sky Sox",2025,1,5,2.101,3,72.019846035715,0.0760608990734672,0
"S Davis","Rocky Mountain Vibes",2021,11,1.32323232323232,0.558636363636364,0.333333333333333,77.1114961312043,0.0647824977791878,0
"D Tauken","Missoula PaddleHeads",2026,62,0.999341672152732,0.415806451612903,0.326530612244898,76.0353212183261,0.0609375296175661,0
"R Lee","Idaho Falls Chukars",2026,105,1.14136546184739,0.485704761904762,0.349397590361446,73.7835443287196,0.0571910857422194,0
"Z Almond","Missoula PaddleHeads",2021,355,1.03683921712091,0.449428169014084,0.243506493506494,72.3384064105846,0.0514761578275092,0
"J Newman","Missoula PaddleHeads",2021,91,1.04073974805682,0.44810989010989,0.292682926829268,71.9170719221909,0.050921205735291,0
"E Lopez","Yuba-Sutter Freebirds",2026,36,1.17063492063492,0.495611111111111,0.214285714285714,66.5470260479219,0.0503045410616055,0
"S Wilmer","Rocky Mountain Vibes",2023,180,1.17631806395851,0.501129213483146,0.3,71.049398515485,0.0496254444128109,0
"M Warkentin","Ogden Raptors",2022,65,1.27759197324415,0.531369230769231,0.369565217391304,74.0020869839145,0.0492082446822572,1
"E Lopez","Rocky Mountain Vibes",2021,75,1.07098039215686,0.464946666666667,0.220588235294118,67.6531275225926,0.049030045072609,0
"B Nigh","Boise Hawks",2026,110,1.11566600859366,0.47194495412844,0.278481012658228,72.0726112894017,0.0485159851855517,0
"M Feinstein","Idaho Falls Chukars",2021,348,1.03464464950623,0.451781609195402,0.211267605633803,68.162272843614,0.0485095266506257,0
"D Tatum","Oakland Ballers",2025,275,1.1389898989899,0.482807272727273,0.346666666666667,76.491110629836,0.047641403336243,0
"K Dugan","Grand Junction Jackalopes",2024,277,1.18042519053349,0.495859205776173,0.342222222222222,74.5811265775433,0.0462689490049628,0
"B Pooler","Great Falls Voyagers",2022,1,2,0.888,0,30.1462857592881,0.0462115742355531,0
"C Grant-Debose","Great Falls Voyagers",2022,1,2,0.888,0,30.1462857592881,0.0462115742355531,0
"D Jacob","Grand Junction Jackalopes",2022,3,1.33333333333333,0.592,0,30.1462857592881,0.0462115742355531,0
"G Vasquez","Idaho Falls Chukars",2026,2,1,0.444,0,30.1462857592881,0.0462115742355531,0
"J Agnew","Grand Junction Jackalopes",2021,1,2,0.888,0,30.1462857592881,0.0462115742355531,0
"K De La Cruz","Ogden Raptors",2021,1,2,0.888,0,30.1462857592881,0.0462115742355531,0
"N Adgar","Ogden Raptors",2024,3,0.666666666666667,0.296,0,30.1462857592881,0.0462115742355531,0
"O Sanchez","Billings Mustangs",2023,1,2,0.888,0,30.1462857592881,0.0462115742355531,0
"T Weldon","Colorado Springs Sky Sox",2024,1,2,0.888,0,30.1462857592881,0.0462115742355531,0
"B Norman","Great Falls Voyagers",2021,175,1.00636528028933,0.436222857142857,0.246835443037975,67.322950916501,0.0453483004237678,1
"J Kirby","Yuba-Sutter Freebirds",2024,117,0.957532051282051,0.402153846153846,0.270833333333333,66.1333700852513,0.0450208889057091,0
"C Steele","Colorado Springs Sky Sox",2022,20,0.809941520467836,0.363473684210526,0,31.0104152310449,0.0449397297512228,0
